Sr. No.,OEM Type,OEM Name,City/District,State,Contact Phone,Contact Email,Uses ABB Motors,Source/Notes
1,Conveyor Belts/Systems,Oriental Rubber Industries Pvt. Ltd.,Pune,Maharashtra,N/A,N/A,Unknown,Conveyor belt manufacturer
2,Conveyor Belts,Somi Conveyor Beltings Ltd.,Jodhpur,Rajasthan,+91-9549658388,sales@somiconveyor.com,Unknown,Conveyor belt manufacturer
3,Conveyor Belting,Fenner Conveyor Belting Pvt Ltd,Madurai,Tamil Nadu,N/A,N/A,Unknown,Conveyor belt manufacturer
4,Rubber Conveyor Belts,Continental Belting Pvt. Ltd.,Goregaon Mumbai,Maharashtra,+91-7738455669,sales@continentalbelting.com,Unknown,Conveyor belt manufacturer
5,Rubber Conveyor/Transmission Belts,Pentagon Rubber Private Limited,New Delhi/Dera Bassi,Delhi/Punjab,+91 11 43504299,sales@pentagonrubber.com,Unknown,Belt manufacturer
6,Conveyor Systems,Fabmax Enterprises,Pune,Maharashtra,+91 9881640597,info@fabmaxindia.com,Unknown,Material handling systems
7,Material Handling Conveyor Systems,Maschinen Fabrik India (MF India),Kolkata,West Bengal,N/A,de@mfipl.com,Unknown,Material handling systems
8,Industrial Conveyor Systems,Bastian Solutions,Bangalore,Karnataka,+91 89 5139 5602,N/A,Unknown,Industrial automation
9,Conveyor Systems/Automation,Beacon Engineers,Nagpur,Maharashtra,+91-07104-295510,beaconeng@rediffmail.com,Unknown,Conveyor and automation systems
10,Conveyor Systems,NKC CONVEYOR INDIA PVT LTD,Gurugram,Haryana,91-0124-4084426,contact@nkc-india.com,Unknown,Conveyor systems
11,Conveyor Systems,ArSai Conve Systems,Ghaziabad,Uttar Pradesh,+91-9811772712,arsaiconveyor@gmail.com,Unknown,Conveyor systems manufacturer
12,Industrial Conveyor Solutions,Excel Conveyors,Pune,Maharashtra,+91 9822957645,sales@Econveyors.in,Unknown,Industrial conveyor solutions
13,Bulk Material Handling Equipments,ROLLWELL Conveyor Pvt. Ltd.,Bengaluru/Hindupur,Karnataka/Andhra Pradesh,+91-9379372704,mktg@rollwell.net,Unknown,Bulk material handling
14,Conveyor Systems,Tsubaki Conveyor Systems India (TCSI),Pune,Maharashtra,+91 20 67928400,TCSI@tsubaki-conveyor.in,Unknown,Japanese conveyor technology
15,Material Handling Systems,Deccan Mechanical and Chemical Industries (DEMECH),Pune,Maharashtra,+91 20 27120994,dmciho@demechindia.com,Unknown,Material handling systems
16,Material Handling Systems,Screwtech Engineering Pvt. Ltd.,Pune,Maharashtra,+91 9423004294,info@screwtechconveyors.com,Unknown,Screw conveyor systems
17,Material Handling Conveyors,Tamilnadu Industrial Conveyor,Chennai,Tamil Nadu,N/A,N/A,Unknown,Industrial conveyor manufacturer
18,Conveyor Systems,Orange Conveyor Systems,Chennai,Tamil Nadu,+918048204402,N/A,Unknown,Conveyor systems manufacturer
19,Belt Conveyors System,Shiv Dhara Fabricators And Engineering,Ahmedabad,Gujarat,+91-8048951818,N/A,Unknown,Belt conveyor fabrication
20,Conveyor Belt Components,Jay Chamunda Industries,Ahmedabad,Gujarat,+91-7943437768,N/A,Unknown,Conveyor belt components
21,Roller Belt Conveyer,Gururaj Rubber Enterprise,Ahmedabad,Gujarat,+91-8044919377,N/A,Unknown,Roller belt conveyor manufacturer
22,Belt Conveyor System,Techno Power Engimech Private Limited,Ahmedabad,Gujarat,+91-8046035294,N/A,Unknown,Belt conveyor systems
23,Belt Conveyors,Akshay Engineering,Ahmedabad,Gujarat,+91-8046032953,N/A,Unknown,Belt conveyor manufacturing
24,Belt Conveyors,Amar Fabricators & Engineers,Ahmedabad,Gujarat,+91-8044566903,N/A,Unknown,Belt conveyor fabrication
25,Flat Belt Conveyor,Kiran Rubber,Surat,Gujarat,+91-7942539203,N/A,Unknown,Flat belt conveyor manufacturer
26,Belt Conveyors,Rank One Industries,Rajkot,Gujarat,+91-8048263915,N/A,Unknown,Belt conveyor manufacturing
27,Belt Conveyor Components,Hightech Automation And Software Technology,Ahmedabad,Gujarat,+91-8048977382,N/A,Unknown,Automation and conveyor components
28,Conveyor Systems,Radheiot Techno Private Limited,Vadodara,Gujarat,+918046037360,N/A,Unknown,Conveyor technology systems
29,Conveyor Systems/Material Handling,RP Automation,Vadodara,Gujarat,+917949373375,N/A,Unknown,Automation and material handling
30,Belt Conveyor System,Mahi Systems Private Limited,Vadodara,Gujarat,+918048967050,N/A,Unknown,Belt conveyor systems
31,Vertical Stacker/Mobile Conveyor,Panchal Production,Vadodara,Gujarat,+918048963347,N/A,Unknown,Vertical and mobile conveyor systems
32,Belt Conveyors,Kokund Engineers Private Limited,Vadodara,Gujarat,+917949322652,N/A,Unknown,Belt conveyor engineering
