Sr. No.,OEM Type,OEM Name,City/District,State,Contact Phone,Contact Email,Uses ABB Motors,Source/Notes
1,Refrigeration/Industrial Air/Process Gas,Kirloskar Pneumatic Company Limited,Pune,Maharashtra,N/A,N/A,Information Unavailable,Leading compressor manufacturer
2,Refrigeration,Emerson Climate Technologies (Copeland Compressors),Gurugram,Haryana,N/A,sanjay.kapoor@emerson.com,Information Unavailable,Global HVAC solutions
3,Industrial Air/Gas Compressors/Process Gas,Atlas Copco (India) Private Ltd.,Pune,Maharashtra,+91 77680 80901,info.compressor@atlascopco.com,Yes,Uses ABB Motors/Components
4,Industrial Air,FS-Curtis India,Pune,Maharashtra,+91 8956964864,abhineet@fselliott.in,Information Unavailable,Air compressor specialist
5,Refrigeration,Freezeking,Delhi (Kirti Nagar),Delhi,+91 9899 7010 28,freezekingindustries@gmail.com,Information Unavailable,Refrigeration compressor manufacturer
6,Refrigeration,Bitzer India Private Limited,Mumbai,Maharashtra,N/A,harvinder.bhatia@bitzer.in,Information Unavailable,German refrigeration compressor manufacturer
7,Refrigeration,Frascold India,Mumbai,Maharashtra,N/A,N/A,Information Unavailable,Italian refrigeration compressor manufacturer
8,Refrigeration,Highly Electric Company (India),Ahmedabad (Matoda Sanand),Gujarat,+91-2717-392899,sales@highly.co.in,Information Unavailable,Electrical and refrigeration equipment
9,Gas Compressors,Indian Compressors Ltd.,New Delhi (Okhla Industrial Estate) Greater Noida,Delhi Uttar Pradesh,+91 11 41206000,sales@didwania.com,Information Unavailable,Gas compression solutions
10,Industrial Air/Gas Compressors,Bharat Pumps & Compressors Limited,Naini Allahabad,Uttar Pradesh,0532-2687417,cmd@bharatpumps.co.in,Information Unavailable,Industrial pump and compressor manufacturer
11,Industrial Air/Gas Compressors,Adson Engineering Corporation,Ahmedabad (Amraiwadi),Gujarat,+91 9898588855,info@adsoncompressor.com,Information Unavailable,Industrial compressor manufacturer
12,Process Gas Compressors,Deep Industries Limited,Ahmedabad (Ambli),Gujarat,+91 2717-298520,info@deepindustries.com,Information Unavailable,Process gas compression specialist
13,Industrial Air,Indo-Air Compressors Private Limited,Ahmedabad (Kathwada GIDC Estate),Gujarat,+91 79 2290 1951,info@indoair.com,Information Unavailable,Air compressor manufacturer
14,Industrial Air/Refrigeration,Bhosale Brothers,Pune,Maharashtra,+91 8624068484,bhosalebrothers123@gmail.com,Information Unavailable,Industrial equipment manufacturer
15,Industrial Air/Refrigeration,Colt Equipments Private Limited,Sonepat (Nathupur),Haryana,N/A,N/A,Information Unavailable,Industrial equipment manufacturer
16,Industrial Air,ELGi Equipments Limited,Coimbatore,Tamil Nadu,1800-425-3544,enquiry@elgi.com,Information Unavailable,Leading air compressor manufacturer
17,Industrial Air,BAC Compressors,Coimbatore,Tamil Nadu,N/A,N/A,Information Unavailable,Air compressor manufacturer
18,Industrial Air/Refrigeration,Tecumseh Products India Private Limited,Hyderabad,Telangana,+91 9810409860,sudeep.katiyar@tecumseh.com,Information Unavailable,Global compressor manufacturer
19,Industrial Air/Gas Compressors,Jyotech Engineering & Marketing Consultants,Noida,Uttar Pradesh,N/A,N/A,Information Unavailable,Engineering consultancy and equipment
20,Industrial Air/Gas Compressors,Comptech Equipments Limited (CEL),Gandhinagar,Gujarat,N/A,N/A,Information Unavailable,Industrial equipment manufacturer
21,Industrial Air/Gas Compressors,Burckhardt Compression India Private Limited,Vadodara,Gujarat,N/A,N/A,Information Unavailable,Swiss compression technology
22,Refrigeration,Sea Bird Refrigeration Private Limited,Delhi,Delhi,N/A,N/A,Information Unavailable,Refrigeration equipment manufacturer
23,Industrial Air,Anest Iwata Motherson Private Limited,Noida,Uttar Pradesh,N/A,N/A,Information Unavailable,Japanese air compressor technology
24,Industrial Air,Sriram Air Compressors (Coimbatore) Private Limited,Coimbatore,Tamil Nadu,N/A,N/A,Information Unavailable,Regional air compressor manufacturer
25,Industrial Air,Eskay Engineering Systems,Coimbatore,Tamil Nadu,N/A,N/A,Information Unavailable,Engineering and air compressor systems
26,Industrial Air,Balaji Compressors,Tirupur,Tamil Nadu,N/A,N/A,Information Unavailable,Air compressor manufacturer
27,Industrial Air/Refrigeration,Premier Industries,Coimbatore,Tamil Nadu,N/A,N/A,Information Unavailable,Industrial equipment manufacturer
28,Industrial Air/Refrigeration,Mayekawa India Private Limited,Gurgaon,Haryana,N/A,N/A,Information Unavailable,Japanese industrial refrigeration
29,Industrial Air,Pryes compressors Private Limited,Tiruppur,Tamil Nadu,N/A,N/A,Information Unavailable,Air compressor manufacturer
30,Industrial Air,Premier Compressor,Coimbatore,Tamil Nadu,N/A,N/A,Information Unavailable,Air compressor manufacturer
31,Refrigeration,Mittal Refrigerations,New Delhi,Delhi,N/A,N/A,Information Unavailable,Refrigeration equipment manufacturer
32,Industrial Air,Boss Air Compressor,Mumbai,Maharashtra,N/A,N/A,Information Unavailable,Air compressor manufacturer
33,Industrial Air,Aakash Engineering Works,Coimbatore,Tamil Nadu,N/A,N/A,Information Unavailable,Engineering and air compressor systems
34,Industrial Air,RMP Compressor,Coimbatore,Tamil Nadu,N/A,N/A,Information Unavailable,Air compressor manufacturer
35,Industrial Air,Manifold Engineers,Rajkot,Gujarat,N/A,N/A,Information Unavailable,Engineering and compressor systems
36,Industrial Air/Gas Compressors,GHH Borsig India Private Limited,Vadodara,Gujarat,N/A,N/A,Information Unavailable,German engineering and compression technology
37,Industrial Air,Neelgiri's Compressors Company,Coimbatore,Tamil Nadu,N/A,N/A,Information Unavailable,Air compressor manufacturer
38,Industrial Air,National Equipment Company,Coimbatore,Tamil Nadu,N/A,N/A,Information Unavailable,Industrial equipment manufacturer
39,Industrial Air,Airmax Equipments,Coimbatore,Tamil Nadu,N/A,N/A,Information Unavailable,Air compressor and equipment manufacturer
40,Industrial Air,J.K.Enterprises,Pune,Maharashtra,N/A,N/A,Information Unavailable,Industrial equipment supplier
41,Industrial Air/Refrigeration,Cooling Systems Inc.,Faridabad,Haryana,N/A,N/A,Information Unavailable,Cooling and refrigeration systems
42,Distributor/Supplier,North India Compressors,Delhi,Delhi,N/A,N/A,Information Unavailable,Compressor distributor and supplier
43,Industrial Air,Mark Compressors India,Pune,Maharashtra,N/A,jayesh.kashyap@mark-compressors.com,Information Unavailable,Air compressor manufacturer
44,Refrigeration,Embraco,Navi Mumbai,Maharashtra,+91 9998124624,vinod.maloo.synergy@nidec-ga.com,Information Unavailable,Global refrigeration compressor manufacturer
45,Refrigeration,Frick India Ltd.,New Delhi,Delhi,+91 9810126276,anupam@frickmail.com,Information Unavailable,Industrial refrigeration systems
46,Refrigeration,Rockwell Industries Ltd.,Hyderabad,Telangana,N/A,ashokg@rockwell.co.in,Information Unavailable,Refrigeration equipment manufacturer
47,Refrigeration,Sidwal Refrigeration Industries Ltd.,Faridabad,Haryana,+91 9818180000,ranbir@sidwal.com,Information Unavailable,Refrigeration systems manufacturer
