Sr. No.,OEM Type,OEM Name,City/District,State,Contact Phone,Contact Email,Uses ABB Motors,Source/Notes
1,Industrial Gearbox Manufacturer,Shanthi Gears Limited,Coimbatore,Tamil Nadu,N/A,N/A,Potential,Leading industrial gearbox manufacturer
2,Industrial Gearbox Manufacturer,Teksmithe,Ghaziabad,Uttar Pradesh,N/A,N/A,Potential,Industrial gearbox and transmission systems
3,Helical Gearbox Manufacturer,Kavitsu Gear Industry,Satara,Maharashtra,+91-2162-240824,N/A,Potential,Helical gearbox specialist
4,Worm Gearbox Manufacturer,JS Gears,Ahmedabad,Gujarat,N/A,N/A,Potential,Worm gearbox manufacturer
5,Industrial Gearbox Manufacturer,Elecon Engineering Company Ltd,Anand,Gujarat,9909917113,infoepc@elecon.com,Yes,Confirmed ABB motor usage
6,Planetary Gearbox Manufacturer,Top Gear Transmissions,Satara,Maharashtra,+91-2162-240642,sales@topgeartransmission.com,Potential,Planetary gearbox specialist
7,Industrial Gearbox Manufacturer,Rossi Gearmotors (India) Pvt Ltd,Coimbatore,Tamil Nadu,N/A,N/A,Potential,Italian gearmotor technology
8,Industrial Gearbox Manufacturer,Ronak Engineers,Vasai East/Thane,Maharashtra,N/A,N/A,Potential,Industrial gearbox engineering
9,Industrial Gearbox Manufacturer,Paarc Industries,Belgaum,Karnataka,N/A,N/A,Potential,Industrial gearbox manufacturer
10,Industrial Gearbox Manufacturer,Transtech Gears Private Limited,Bengaluru Rural,Karnataka,+91-8867080712,mkt@transtechgears.com,Potential,Gear transmission technology
11,Industrial Gearbox Manufacturer,MGM-Varvel Power Transmission Private Limited,Chennai,Tamil Nadu,N/A,N/A,Potential,Power transmission systems
12,Industrial Gearbox Manufacturer,Rotomotive Powerdrives India Limited,Anand,Gujarat,N/A,umesh@rotomag.com,Potential,Power transmission and drives
13,Industrial Gearbox Manufacturer,NORD Drivesystems Private Limited,Pune,Maharashtra,+91 (0)20-3980 1200,India@nord.com,Potential,German drive technology
14,Industrial Gearbox Manufacturer,New Delta Gear Manufacturers Private Limited,Chennai,Tamil Nadu,+91 44 2225 3608,info@newdeltagears.com,Potential,Gear manufacturing specialist
15,Industrial Gearbox Manufacturer,Bharat Gears Limited,N/A,N/A,N/A,N/A,Uncertain,Industrial gearbox manufacturer
16,Conveyor System Manufacturer,Somi Conveyor Beltings Ltd.,Jodhpur,Rajasthan,+91-9549658388,sales@somiconveyor.com,Potential,Conveyor systems with gearbox applications
17,Conveyor System Manufacturer,Continental Belting Pvt. Ltd.,Mumbai,Maharashtra,+91-7738455669,sales@continentalbelting.com,Potential,Conveyor systems requiring gearboxes
18,Conveyor System Manufacturer,Pentagon Rubber Private Limited,New Delhi,Delhi,+91 11 43504299,sales@pentagonrubber.com,Potential,Belt and conveyor systems
19,Conveyor System Manufacturer,Fabmax Enterprises,Pune,Maharashtra,+91 9881640597,info@fabmaxindia.com,Potential,Material handling systems with gearboxes
20,Conveyor System Manufacturer,Maschinen Fabrik India,Kolkata,West Bengal,N/A,N/A,Potential,Material handling and conveyor systems
21,Conveyor System Manufacturer,Bastian Solutions,Bengaluru,Karnataka,+91 89 5139 5602,N/A,Potential,Industrial automation and conveyor systems
22,Conveyor System Manufacturer,Beacon Engineers,Nagpur,Maharashtra,+91-07104-295510,beaconeng@rediffmail.com,Potential,Conveyor automation systems
23,Conveyor System Manufacturer,NKC India,Gurugram,Haryana,91-0124-4084426,contact@nkc-india.com,Potential,Conveyor systems manufacturer
24,Conveyor System Manufacturer,ArSai Conve Systems,Ghaziabad,Uttar Pradesh,+91-9811772712,arsaiconveyor@gmail.com,Potential,Conveyor systems engineering
25,Conveyor System Manufacturer,Excel Conveyors,Pune,Maharashtra,+91 9822957645,sales@Econveyors.in,Potential,Industrial conveyor solutions
26,Conveyor System Manufacturer,Rollwell Conveyor Pvt. Ltd.,Hindupur,Andhra Pradesh,+91-9379372704,mktg@rollwell.net,Potential,Bulk material handling systems
27,Conveyor System Manufacturer,Tsubaki Conveyor Systems India,Pune,Maharashtra,+91 20 67928400,TCSI@tsubaki-conveyor.in,Potential,Japanese conveyor technology
28,Conveyor System Manufacturer,Deccan Mechanical and Chemical Industries,Pune,Maharashtra,+91 20 27120994,dmciho@demechindia.com,Potential,Material handling systems
29,Conveyor System Manufacturer,Orange Conveyor Systems,Chennai,Tamil Nadu,+918048204402,N/A,Potential,Conveyor systems manufacturer
30,Conveyor System Manufacturer,Samarth Conveyors,Mumbai,Maharashtra,+918047691014,N/A,Potential,Material handling and conveyor systems
31,Conveyor System Manufacturer,M D Conveyor Systems,Pune,Maharashtra,+917942554613,N/A,Potential,Conveyor systems manufacturer
32,Conveyor System Manufacturer,SMT Conveyors And Automations,Bengaluru,Karnataka,+917942836598,N/A,Potential,Conveyor automation systems
33,Conveyor System Manufacturer,Loknath Engineering,Kolkata,West Bengal,+918046045188,N/A,Potential,Engineering and conveyor systems
34,Conveyor System Manufacturer,S.G. Packaging And Coding Co.,Delhi/Bahadurgarh/Kanpur/Jaipur/Kolkata,NCR/Haryana/UP/Rajasthan/West Bengal,+918048603440,N/A,Potential,Packaging and conveyor systems
35,Conveyor System Manufacturer,Flexitech Engineering,Bhiwadi/Ghaziabad/Jaipur/Kanpur/Kolkata,Rajasthan/UP/NCR/West Bengal,+918048263934,N/A,Potential,Flexible conveyor engineering
36,Conveyor System Manufacturer,H. S. Engineers,Bhiwadi/Bahadurgarh/Faridabad/Jaipur/Kanpur/Kolkata/New Delhi,Rajasthan/Haryana/NCR/UP/West Bengal,+918048950903,N/A,Potential,Engineering and conveyor systems
