Sr. No.,OEM Type,OEM Name,City/District,State,Contact Phone,Contact Email,Uses ABB Motors,Source/Notes
1,Industrial/Commercial Fans,Havells India Ltd.,Noida,Uttar Pradesh,0120-3331000,N/A,Potential,Major electricals company offering a wide range of fans; ABB is a logical high-quality motor supplier
2,Industrial/Commercial Fans,Crompton Greaves Consumer Electricals Ltd.,Mumbai,Maharashtra,+91 22 61678499,N/A,Potential,Leading fan manufacturer and a major player in the electric motor market
3,Industrial/Commercial Fans,Usha International Ltd.,Gurgaon,Haryana,0124-4583100,N/A,Potential,Major brand in home and industrial appliances including fans; likely to source from established motor suppliers
4,Centrifugal/Axial Fans,Usha Die Casting Industries (Blowerfab),Surat,Gujarat,N/A,N/A,Potential,Top-notch manufacturer of a wide range of industrial fans and blowers under the SYMBIOSIS brand
5,Industrial Blowers/Fans,Mittal Blowers India,Ahmedabad,Gujarat,N/A,N/A,Potential,Leading manufacturer of industrial air blower machines and fans in a key industrial hub
6,Centrifugal/Axial Fans,Eminent Blowers,Pune,Maharashtra,N/A,N/A,Potential,Highly acclaimed manufacturer of industrial centrifugal blowers and axial fans
7,Centrifugal Fans/Blowers,Techflow Enterprises,N/A,N/A,N/A,N/A,Potential,Manufacturer of dust collection systems and centrifugal fans/blowers
8,Industrial Fans/Blowers,Reitz India,N/A,N/A,N/A,N/A,Potential,Renowned for manufacturing centrifugal and axial flow fans
9,Industrial Fans,NADI Airtechnics,N/A,N/A,N/A,N/A,Potential,Manufactures light and medium duty industrial fans
10,Industrial Blowers,Dynavac,N/A,N/A,N/A,N/A,Potential,Provider of ring blowers and centrifugal blowers
11,Industrial Blowers,Kay International Pvt Ltd,Gurugram/Sonipat,Haryana,N/A,N/A,Potential,Leading manufacturer of industrial blowers including centrifugal and roots blowers
12,Centrifugal/Axial Fans,R. K. Engineering Works,Mumbai,Maharashtra,+91 9870 065 912,rkengworks.in@gmail.com,Potential,Manufacturer of centrifugal fans tube axial fans and fume/dust extraction systems
13,Axial Fans/Centrifugal Blowers,V B M Enterprises,Mumbai,Maharashtra,N/A,N/A,Potential,Manufacturer of external rotor motors axial flow fans and centrifugal blowers
14,Ring Blowers,Raico Engineers,Mumbai,Maharashtra,N/A,N/A,Potential,Manufacturer of ring blowers and industrial filters
15,Centrifugal/Axial Fans,Shree Udyog,Mumbai,Maharashtra,N/A,N/A,Potential,Manufacturer of turbine blowers exhausters centrifugal blowers and axial flow fans
16,Centrifugal Blowers/Axial Fans,Shivastar Systems,Mumbai,Maharashtra,N/A,N/A,Potential,Manufacturer of inlet blowers backward curve blowers and axial fans
17,Centrifugal/Axial Fans,Humi Air Systems Pvt. Ltd.,New Delhi,Delhi,N/A,N/A,Potential,Manufacturer of centrifugal fans and axial flow fans
