Sr. No.,OEM Type,OEM Name,City/District,State,Contact Phone,Contact Email,Uses ABB Motors,Source/Notes
1,Pumps - Industrial / Agricultural,Kirloskar Brothers Ltd,Pune,Maharashtra,1800-123-4443,N/A,Potential,Manufactures a wide range of industrial and agricultural pumps; as a market leader they would source from top-tier suppliers like ABB
2,Pumps - Industrial / Water,KSB Pumps Ltd.,Pune,Maharashtra,1800-233-1299,N/A,Confirmed,Third-party supplier lists a KSB pump model explicitly paired with an ABB motor
3,Pumps - Consumer / Agricultural,Crompton Greaves Consumer Electricals Limited,Mumbai,Maharashtra,9228880505,consumer.support@crompton.co.in,Potential,Major manufacturer of pumps and motors; likely sources from or competes with ABB
4,Pumps - Industrial / Water,Grundfos Pumps India Pvt. Ltd.,Chennai,Tamil Nadu,+91-44-4596-6800,contact.india@sales.grundfos.com,Potential,Global leader with high-quality standards; ABB is a logical potential supplier for their premium products
5,Pumps - Solar / Agricultural,Shakti Pumps (India) Ltd,Pithampur,Madhya Pradesh,+91-7292-410500,info@shaktipumps.com,Potential,Leading solar pump manufacturer; would require high-efficiency motors a key ABB offering
6,Pumps - Agricultural / Domestic Submersible,Falcon Pumps Private Limited,Rajkot,Gujarat,+91-97277-00568,sales@falconpumps.in,Potential,Leading manufacturer in the Rajkot cluster produces standard pumps compatible with ABB motors
7,Pumps - Agricultural / Domestic,Taro Pumps (Texmo Industries),Coimbatore,Tamil Nadu,1800-102-8888,info@taropumps.com,Potential,Major player in the Coimbatore hub manufactures its own motors but could source for specialized applications
8,Pumps - Agricultural / Domestic,CRI Pumps Pvt. Ltd.,Coimbatore,Tamil Nadu,1800-121-1243,customercare@crigroups.com,Potential,A dominant market leader in agricultural pumps; while they have extensive in-house motor manufacturing they may source for specific requirements
9,Pumps - Industrial / Consumer,Havells India Ltd.,Noida,Uttar Pradesh,080-45-77-1313,customercare@havells.com,Potential,Large electricals conglomerate that manufactures pumps; potential for sourcing high-efficiency motors
10,Pumps - Industrial / Power,CG Power and Industrial Solutions Limited,Mumbai,Maharashtra,+91-22-2423-7700,help@cgglobal.com,Potential,Major competitor to ABB in the motor space but could potentially source for specific integrated solutions
11,Pumps - Agricultural / Domestic,Oswal Pumps Ltd.,Karnal,Haryana,+91-9896266691,info@oswalpumps.com,Potential,Fast-growing company in solar and agricultural pumps a key target market for ABB's efficient motors
12,Pumps - Submersible / Domestic,Lubi Submersibles Ltd.,Ahmedabad,Gujarat,+91-79-61700100,service@lubipumps.com,Potential,Large manufacturer of submersible pumps and induction motors; could be a customer or competitor
13,Pumps - Industrial Process,Flowchem Engineering Pvt. Ltd.,Ahmedabad,Gujarat,N/A,N/A,Potential,Specializes in industrial process pumps requiring reliable motors that meet industry standards making ABB a suitable partner
14,Pumps - Chemical Process,Chemlin Pumps & Valves Pvt. Ltd.,Kolhapur,Maharashtra,+91-231-2653123,sales@chemlinindia.com,Potential,Focus on corrosion-resistant pumps for chemical industries suggests a need for specialized high-reliability motors like those offered by ABB
15,Pumps - Industrial / Submersible,Deccan Industries,Coimbatore,Tamil Nadu,+91-422-2531063,deccan@deccanindustries.com,Potential,Specifies NEMA Standard motors which are a core part of ABB's product portfolio
16,Pumps - Chemical Process,JEE Pumps,Ahmedabad,Gujarat,1800-233-8787,info@jeepumps.com,Potential,Reputed manufacturer of chemical process pumps a key application area for ABB's specialized industrial motors
17,Pumps - Industrial / Submersible,Darling Pumps,Indore,Madhya Pradesh,+91-9981992838,info@darlingpumps.in,Potential,Offers a wide range of submersible pumps for demanding applications like slurry and hot water requiring robust motors
18,Pumps - Submersible,Pluga Pumps & Motors Pvt. Ltd.,Vadodara,Gujarat,1800-313-1381,pluga@pluga.com,Inferred,Factory is located near an ABB facility suggesting a strong logistical and potential supply relationship
19,Pumps - Positive Displacement,Roto Pumps Ltd,Noida,Uttar Pradesh,+91-120-2567902,contact@rotopumps.com,Potential,Global player in positive displacement pumps; their industrial focus makes them a target for ABB's reliable motor solutions
